state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,comments,mergedBy,mergeCommit,org,repo,kind
OPEN,MDU6SXNzdWU2MjI3NzYwODk=,Unicode for newBrowserTab not displaying correctly,https://github.com/jupyterhub/jupyter-server-proxy/issues/200,2020-05-21T20:43:47Z,2020-05-21T22:47:41Z,,{'edges': []},200,NONE,maresb,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T22:17:38Z', 'updatedAt': '2020-05-21T22:17:38Z', 'url': 'https://github.com/jupyterhub/jupyter-server-proxy/issues/200#issuecomment-632374823', 'author': {'login': 'manics'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-05-21T22:22:33Z', 'updatedAt': '2020-05-21T22:22:33Z', 'url': 'https://github.com/jupyterhub/jupyter-server-proxy/issues/200#issuecomment-632376517', 'author': {'login': 'maresb'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T22:36:28Z', 'updatedAt': '2020-05-21T22:36:28Z', 'url': 'https://github.com/jupyterhub/jupyter-server-proxy/issues/200#issuecomment-632381050', 'author': {'login': 'manics'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T22:47:41Z', 'updatedAt': '2020-05-21T22:47:41Z', 'url': 'https://github.com/jupyterhub/jupyter-server-proxy/issues/200#issuecomment-632384428', 'author': {'login': 'ryanlovett'}}}]}",,,jupyterhub,jupyter-server-proxy,issue
OPEN,MDU6SXNzdWU2MjI2NzUxOTE=,Figure out OVH ingress issue,https://github.com/jupyterhub/mybinder.org-deploy/issues/1445,2020-05-21T17:57:37Z,2020-05-21T17:57:37Z,,{'edges': []},1445,MEMBER,minrk,{'edges': []},,,jupyterhub,mybinder.org-deploy,issue
CLOSED,MDU6SXNzdWU2MjI2NDgzMTM=,Update the public calendar with new meeting info,https://github.com/jupyterhub/team-compass/issues/293,2020-05-21T17:10:31Z,2020-05-21T18:06:09Z,2020-05-21T18:06:09Z,{'edges': []},293,MEMBER,choldgraf,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T17:24:03Z', 'updatedAt': '2020-05-21T17:24:39Z', 'url': 'https://github.com/jupyterhub/team-compass/issues/293#issuecomment-632237429', 'author': {'login': 'manics'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T17:26:39Z', 'updatedAt': '2020-05-21T17:26:39Z', 'url': 'https://github.com/jupyterhub/team-compass/issues/293#issuecomment-632238772', 'author': {'login': 'manics'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T17:43:52Z', 'updatedAt': '2020-05-21T17:43:52Z', 'url': 'https://github.com/jupyterhub/team-compass/issues/293#issuecomment-632247711', 'author': {'login': 'choldgraf'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T18:03:43Z', 'updatedAt': '2020-05-21T18:03:43Z', 'url': 'https://github.com/jupyterhub/team-compass/issues/293#issuecomment-632257452', 'author': {'login': 'manics'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T18:06:09Z', 'updatedAt': '2020-05-21T18:06:09Z', 'url': 'https://github.com/jupyterhub/team-compass/issues/293#issuecomment-632258522', 'author': {'login': 'choldgraf'}}}]}",,,jupyterhub,team-compass,issue
OPEN,MDU6SXNzdWU2MjIzNzM0ODA=,Use case for c.JupyterHub.api_tokens - service that identifies as a user,https://github.com/jupyterhub/jupyterhub/issues/3051,2020-05-21T09:29:04Z,2020-05-21T09:29:04Z,,{'edges': []},3051,NONE,TeriForey,{'edges': []},,,jupyterhub,jupyterhub,issue
OPEN,MDU6SXNzdWU2MjE5NTgzNDk=,Allow custom securityContext in hub,https://github.com/jupyterhub/zero-to-jupyterhub-k8s/issues/1677,2020-05-20T17:37:38Z,2020-05-20T20:12:02Z,,{'edges': []},1677,NONE,sdague,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-20T20:12:01Z', 'updatedAt': '2020-05-20T20:12:01Z', 'url': 'https://github.com/jupyterhub/zero-to-jupyterhub-k8s/issues/1677#issuecomment-631700131', 'author': {'login': 'manics'}}}]}",,,jupyterhub,zero-to-jupyterhub-k8s,issue
OPEN,MDU6SXNzdWU2MjE3MDkzNjk=,jupyterhub strict linting fails,https://github.com/jupyterhub/zero-to-jupyterhub-k8s/issues/1676,2020-05-20T12:09:23Z,2020-05-20T12:09:23Z,,{'edges': []},1676,NONE,baboune,{'edges': []},,,jupyterhub,zero-to-jupyterhub-k8s,issue
CLOSED,MDU6SXNzdWU2MjE3MDM3NjM=,Hub pod is going into CrashLoopBackOff state after deployment,https://github.com/jupyterhub/zero-to-jupyterhub-k8s/issues/1675,2020-05-20T11:59:55Z,2020-05-20T18:08:57Z,2020-05-20T18:08:56Z,{'edges': []},1675,NONE,Abhi3linku,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-05-20T18:08:56Z', 'updatedAt': '2020-05-20T18:08:56Z', 'url': 'https://github.com/jupyterhub/zero-to-jupyterhub-k8s/issues/1675#issuecomment-631637465', 'author': {'login': 'Abhi3linku'}}}]}",,,jupyterhub,zero-to-jupyterhub-k8s,issue
CLOSED,MDU6SXNzdWU2MjE2NjQ5NTk=,I failed to install jupyterhub on an arm machine,https://github.com/jupyterhub/jupyterhub/issues/3050,2020-05-20T10:53:35Z,2020-05-21T12:58:45Z,2020-05-21T12:58:45Z,{'edges': [{'node': {'name': 'support'}}]},3050,NONE,huyunhaode,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-05-21T12:58:45Z', 'updatedAt': '2020-05-21T12:58:45Z', 'url': 'https://github.com/jupyterhub/jupyterhub/issues/3050#issuecomment-632071297', 'author': {'login': 'support'}}}]}",,,jupyterhub,jupyterhub,issue
OPEN,MDU6SXNzdWU2MjExODAxMTU=,Increase limit for NSLS-II user workshop to 300,https://github.com/jupyterhub/mybinder.org-deploy/issues/1438,2020-05-19T18:05:31Z,2020-05-19T20:37:49Z,,{'edges': [{'node': {'name': 'impact'}}]},1438,NONE,tacaswell,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-19T19:25:11Z', 'updatedAt': '2020-05-19T19:25:11Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/issues/1438#issuecomment-631032275', 'author': {'login': 'betatim'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-05-19T20:08:34Z', 'updatedAt': '2020-05-19T20:08:34Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/issues/1438#issuecomment-631054373', 'author': {'login': 'danielballan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-19T20:37:49Z', 'updatedAt': '2020-05-19T20:37:49Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/issues/1438#issuecomment-631068847', 'author': {'login': 'choldgraf'}}}]}",,,jupyterhub,mybinder.org-deploy,issue
OPEN,MDU6SXNzdWU2MjExNjk2OTc=,Uninstall notes don't include removing nodesource from apt,https://github.com/jupyterhub/the-littlest-jupyterhub/issues/577,2020-05-19T17:48:17Z,2020-05-19T17:48:17Z,,{'edges': []},577,NONE,nbastin,{'edges': []},,,jupyterhub,the-littlest-jupyterhub,issue
OPEN,MDU6SXNzdWU2MjExNTgwNzc=,"""What does the installer do?"" is not an obvious place to find uninstall instructions",https://github.com/jupyterhub/the-littlest-jupyterhub/issues/576,2020-05-19T17:29:28Z,2020-05-20T20:20:16Z,,{'edges': []},576,NONE,nbastin,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-19T17:59:31Z', 'updatedAt': '2020-05-19T17:59:31Z', 'url': 'https://github.com/jupyterhub/the-littlest-jupyterhub/issues/576#issuecomment-630984813', 'author': {'login': 'manics'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-05-20T20:20:16Z', 'updatedAt': '2020-05-20T20:20:16Z', 'url': 'https://github.com/jupyterhub/the-littlest-jupyterhub/issues/576#issuecomment-631704139', 'author': {'login': 'nbastin'}}}]}",,,jupyterhub,the-littlest-jupyterhub,issue
OPEN,MDU6SXNzdWU2MjExNDU0MzA=,Node.js is not (properly?) installed but required,https://github.com/jupyterhub/the-littlest-jupyterhub/issues/575,2020-05-19T17:07:42Z,2020-05-20T20:58:23Z,,{'edges': []},575,NONE,nbastin,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-05-20T20:58:23Z', 'updatedAt': '2020-05-20T20:58:23Z', 'url': 'https://github.com/jupyterhub/the-littlest-jupyterhub/issues/575#issuecomment-631723179', 'author': {'login': 'nbastin'}}}]}",,,jupyterhub,the-littlest-jupyterhub,issue
CLOSED,MDU6SXNzdWU2MjA2OTAzMjU=,BBR setting with jupyterhub,https://github.com/jupyterhub/zero-to-jupyterhub-k8s/issues/1674,2020-05-19T05:31:14Z,2020-05-19T05:40:06Z,2020-05-19T05:40:06Z,{'edges': []},1674,NONE,dwyane1023,{'edges': []},,,jupyterhub,zero-to-jupyterhub-k8s,issue
