state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,comments,mergedBy,mergeCommit,org,repo,kind
MERGED,MDExOlB1bGxSZXF1ZXN0NDIxNDE1OTgz,Fixed typo in readme,https://github.com/jupyterhub/jupyterhub-idle-culler/pull/2,2020-05-21T15:24:22Z,2020-05-21T16:28:15Z,2020-05-21T16:28:04Z,{'edges': []},2,CONTRIBUTOR,riyasyash,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T16:28:14Z', 'updatedAt': '2020-05-21T16:28:14Z', 'url': 'https://github.com/jupyterhub/jupyterhub-idle-culler/pull/2#issuecomment-632191726', 'author': {'login': 'yuvipanda'}}}]}",yuvipanda,{'oid': 'c6184e371f04c2b69ac37163c014e6d7a14bf0ac'},jupyterhub,jupyterhub-idle-culler,pr
MERGED,MDExOlB1bGxSZXF1ZXN0NDIxMzcyNTg0,[MRG] Fix missing hexdigest call,https://github.com/jupyterhub/mybinder.org-deploy/pull/1444,2020-05-21T14:09:00Z,2020-05-21T14:10:28Z,2020-05-21T14:10:24Z,{'edges': []},1444,MEMBER,betatim,{'edges': []},yuvipanda,{'oid': '5c4c4229516b05c1306cdc376e05e186d4ccdc10'},jupyterhub,mybinder.org-deploy,pr
MERGED,MDExOlB1bGxSZXF1ZXN0NDIxMzUxOTA0,[MRG] Add a Jitsi link to our page template,https://github.com/jupyterhub/mybinder.org-deploy/pull/1443,2020-05-21T13:27:48Z,2020-05-21T14:41:14Z,2020-05-21T13:56:59Z,{'edges': []},1443,MEMBER,betatim,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:39:49Z', 'updatedAt': '2020-05-21T13:39:49Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632091899', 'author': {'login': 'yuvipanda'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:48:33Z', 'updatedAt': '2020-05-21T13:48:33Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632096464', 'author': {'login': 'betatim'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:51:53Z', 'updatedAt': '2020-05-21T13:51:53Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632098204', 'author': {'login': 'betatim'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:53:27Z', 'updatedAt': '2020-05-21T13:53:27Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632099052', 'author': {'login': 'yuvipanda'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:55:43Z', 'updatedAt': '2020-05-21T13:55:43Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632100187', 'author': {'login': 'betatim'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:56:06Z', 'updatedAt': '2020-05-21T13:56:06Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632100379', 'author': {'login': 'yuvipanda'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T13:56:44Z', 'updatedAt': '2020-05-21T13:56:55Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632100732', 'author': {'login': 'betatim'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T14:41:05Z', 'updatedAt': '2020-05-21T14:41:13Z', 'url': 'https://github.com/jupyterhub/mybinder.org-deploy/pull/1443#issuecomment-632124136', 'author': {'login': 'choldgraf'}}}]}",yuvipanda,{'oid': '4ba42fe633374400ec64fab471256954dd8656c0'},jupyterhub,mybinder.org-deploy,pr
OPEN,MDExOlB1bGxSZXF1ZXN0NDIxMzIyNTA3,decodeURIComponent the spec so it gets shown unquoted in the status message.,https://github.com/jupyterhub/binderhub/pull/1103,2020-05-21T12:21:51Z,2020-05-21T12:26:35Z,,{'edges': []},1103,FIRST_TIME_CONTRIBUTOR,kpaschen,{'edges': []},,,jupyterhub,binderhub,pr
OPEN,MDExOlB1bGxSZXF1ZXN0NDIxMTc5MjM1,[WIP] Experimenting with Stimulus JS,https://github.com/jupyterhub/binderhub/pull/1102,2020-05-21T06:38:40Z,2020-05-21T06:38:40Z,,{'edges': []},1102,MEMBER,betatim,{'edges': []},,,jupyterhub,binderhub,pr
MERGED,MDExOlB1bGxSZXF1ZXN0NDIxMTU3MTY1,Bump server extension version,https://github.com/jupyterhub/jupyter-server-proxy/pull/199,2020-05-21T05:26:01Z,2020-05-21T07:27:10Z,2020-05-21T07:20:16Z,{'edges': []},199,MEMBER,yuvipanda,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T05:26:46Z', 'updatedAt': '2020-05-21T05:26:46Z', 'url': 'https://github.com/jupyterhub/jupyter-server-proxy/pull/199#issuecomment-631888772', 'author': {'login': 'yuvipanda'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-05-21T07:27:10Z', 'updatedAt': '2020-05-21T07:27:10Z', 'url': 'https://github.com/jupyterhub/jupyter-server-proxy/pull/199#issuecomment-631931326', 'author': {'login': 'consideRatio'}}}]}",consideRatio,{'oid': '449f9d95db778296c96e82be272d929d0f9da5c8'},jupyterhub,jupyter-server-proxy,pr
CLOSED,MDExOlB1bGxSZXF1ZXN0NDIwOTE1NjQy,Adding allowed users,https://github.com/jupyterhub/ldapauthenticator/pull/166,2020-05-20T17:39:44Z,2020-05-20T17:45:54Z,2020-05-20T17:40:03Z,{'edges': []},166,NONE,tomcatlingcma,{'edges': []},,,jupyterhub,ldapauthenticator,pr
OPEN,MDExOlB1bGxSZXF1ZXN0NDIwNzk3MzU2,[WIP] Automatic HTTPS and tests,https://github.com/jupyterhub/binderhub/pull/1101,2020-05-20T14:42:34Z,2020-05-21T17:31:21Z,,{'edges': []},1101,MEMBER,consideRatio,{'edges': []},,,jupyterhub,binderhub,pr
OPEN,MDExOlB1bGxSZXF1ZXN0NDIwNzQ0MjU2,[WIP] add a way to specify host for ingress,https://github.com/jupyterhub/kubespawner/pull/406,2020-05-20T13:16:27Z,2020-05-20T13:24:40Z,,{'edges': []},406,FIRST_TIME_CONTRIBUTOR,remche,{'edges': []},,,jupyterhub,kubespawner,pr
OPEN,MDExOlB1bGxSZXF1ZXN0NDIwNDY1ODEz,[WIP] Add support for Bitbucket repositories,https://github.com/jupyterhub/binderhub/pull/1100,2020-05-20T02:20:02Z,2020-05-20T07:22:50Z,,{'edges': []},1100,FIRST_TIME_CONTRIBUTOR,sachin235,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-05-20T02:24:05Z', 'updatedAt': '2020-05-20T02:24:05Z', 'url': 'https://github.com/jupyterhub/binderhub/pull/1100#issuecomment-631195170', 'author': {'login': 'sachin235'}}}]}",,,jupyterhub,binderhub,pr
